Recording Date,Production Order,Production Line,Material Type,Manufacturing Process,Width Change,Grammage,Length,Width,Reference,Reference Type,Team,Week Day,Shift,Speed,Ventilation 1,Ventilation 2,Ventilation 3,Ventilation 4,Ventilation 5,Ventilation 6,Temperature 1,Temperature 2,Temperature 3,Temperature 4,Temperature 5,Temperature 6,Tension,RC,VC,RC Out?,VC Out?
20180124152649,5160098406,323,PBA02,BPDUP,N,81.0,5720,1240,L927,L,A,QUA,2,17.98,787.33,833.55,850.26,796.22,800.78,0.33,107.5,119.91,126.4,110.09,96.25,0.0,16.09,58.4,6.2,"[58,59[","[6.0,6.5["
20180124164257,5160098390,323,PBA02,BPDUP,N,81.0,5720,1240,L3031,L,A,QUA,2,16.69,787.98,833.33,852.0,795.79,799.05,0.33,107.54,120.76,126.57,111.52,98.05,0.0,-0.58,57.9,,"[57,58[",
20180124174311,5160098408,323,PBA02,BPDUP,N,81.0,5720,1240,L4054,L,A,QUA,2,19.64,789.06,832.9,850.91,796.22,799.91,0.33,113.01,119.74,126.02,108.12,96.33,0.0,19.16,57.9,,"[57,58[",
20180124180013,5160098403,323,PBA02,BPDUP,N,91.0,4900,1240,B4359,B,A,QUA,2,20.15,787.98,832.9,850.91,795.57,801.0,0.33,111.61,121.01,126.14,109.42,96.92,0.0,15.34,56.4,,"[56,57[",
20180124185532,5160098431,323,PBA02,BPDUP,N,101.0,5720,1240,L101,L,A,QUA,2,16.91,787.33,832.47,850.91,795.36,800.13,0.33,111.61,121.52,125.93,108.54,94.82,0.0,12.5,57.1,6.8,"[57,58[","[6.5,7.0["
20180124210752,5160098399,323,PBA02,BPDUP,S,71.0,5520,1850,M760,M,A,QUA,2,22.04,851.35,833.12,850.48,795.57,799.91,0.33,111.95,120.93,126.06,107.32,97.13,0.0,14.61,58.6,6.4,"[58,59[","[6.0,6.5["
20180124214749,5160098410,323,PBA02,BPDUP,N,66.0,5120,1850,M563,M,C,QUA,3,22.04,851.35,832.9,849.83,795.14,800.35,0.33,111.23,120.16,126.23,108.79,96.21,0.0,14.32,58.4,6.3,"[58,59[","[6.0,6.5["
20180124225000,5160098400,323,PBA02,BPDUP,N,66.0,5520,1850,M563,M,A,QUA,3,19.9,787.98,784.72,835.5,795.36,800.35,0.33,109.37,115.78,123.53,109.0,94.4,0.0,14.44,58.4,6.3,"[58,59[","[6.0,6.5["
20180125012000,5160098430,323,PBA02,BPDUP,N,66.0,5520,1850,M9006,M,A,QUA,3,18.46,836.15,783.64,836.15,795.14,800.56,0.33,104.62,114.12,120.86,107.41,88.86,0.0,16.55,58.4,6.3,"[58,59[","[6.0,6.5["
20180125020841,5160098395,323,PBA02,BPDUP,N,81.0,5520,1850,F067,F,A,QUI,3,15.03,787.33,785.37,836.81,794.92,800.35,0.33,109.92,115.95,123.06,107.79,95.2,0.0,17.56,56.1,6.5,"[56,57[","[6.5,7.0["
20180125060800,5160098396,323,PBA02,BPDUP,N,61.0,5120,1850,L4068,L,B,QUI,1,19.09,834.42,834.64,836.59,794.7,800.13,0.33,109.24,115.82,123.36,108.92,93.48,0.0,18.78,62.3,,"[62,63[",
20180125075126,5160098396,323,PBA02,BPDUP,N,61.0,5120,1850,L4068,L,B,QUI,1,21.74,790.8,831.16,837.46,796.01,799.05,0.33,109.66,116.12,123.91,107.62,93.81,0.0,19.01,62.5,,"[62,63[",
20180125085813,5160098407,323,PBA02,BPDUP,N,66.0,5120,1850,M2570,M,B,QUI,1,19.35,789.06,832.9,837.24,794.27,798.61,0.33,109.79,115.1,123.69,107.62,94.19,0.0,19.39,60.8,,"[60,61[",
20180125094856,5160098428,323,PBA02,BPDUP,N,71.0,5520,1850,M2106,M,B,QUI,1,20.1,788.85,834.42,837.67,794.49,799.26,0.33,109.28,115.61,123.27,108.04,93.27,0.0,19.44,58.8,,"[58,59[",
20180125101431,5160098401,323,PBA02,BPDUP,N,71.0,5520,1850,M532,M,B,QUI,1,20.12,789.5,832.9,837.24,795.36,799.05,0.33,109.75,116.25,123.48,107.83,94.19,0.0,20.37,58.7,,"[58,59[",
20180125101624,5160098397,323,PBA02,BPDUP,N,71.0,2460,1850,M532,M,B,QUI,1,20.11,789.06,833.98,837.46,795.57,799.7,0.33,109.66,115.69,123.57,107.83,94.19,0.0,20.54,58.7,,"[58,59[",
20180125105413,5160098404,323,PBA02,BPDUP,N,66.0,5120,1850,M6052,M,B,QUI,1,19.58,790.36,832.9,836.81,795.14,800.56,0.33,109.58,115.82,123.57,107.99,93.81,0.0,19.85,59.0,,"[59,60[",
20180125162124,5160098405,323,PBA02,BPDUP,N,71.0,5520,1850,M175,M,A,QUI,2,21.09,789.93,832.9,836.15,794.92,799.91,0.33,109.28,115.69,123.15,106.57,93.86,0.0,14.5,58.4,,"[58,59[",
20180125155854,5160098405,323,PBA02,BPDUP,N,71.0,5520,1850,M175,M,A,QUI,2,21.79,791.88,833.33,836.59,794.27,800.13,0.33,120.01,113.74,123.15,104.97,94.44,0.0,21.3,58.8,6.4,"[58,59[","[6.0,6.5["
20180125162341,5160098393,323,PBA02,BPDUP,N,81.0,5520,1850,L185,L,A,QUI,2,21.1,788.85,833.12,837.46,794.92,798.39,0.33,109.07,115.82,123.19,106.69,93.44,0.0,14.35,57.6,,"[57,58[",
20180125174719,5160098435,323,PBA02,BPDUP,N,61.0,5120,1850,L4068,L,A,QUI,2,23.97,837.24,832.47,836.37,794.92,801.22,0.33,118.69,123.14,132.02,107.83,100.4,0.0,16.41,62.1,,"[62,63[",
20180125213325,5160098391,323,PBA02,BPDUP,N,66.0,5520,1850,M9001,M,A,QUI,2,25.08,849.83,847.22,898.22,795.36,800.56,0.33,119.84,124.12,131.43,110.76,101.53,0.0,-3.5,58.4,6.3,"[58,59[","[6.0,6.5["
20180125192500,5160098434,323,PBA02,BPDUP,N,66.0,5120,1850,M6055,M,A,QUI,2,26.51,851.78,847.66,898.65,795.36,801.0,0.33,119.71,124.07,131.59,109.97,101.11,0.0,16.06,58.9,,"[58,59[",
20180125220200,5160098391,323,PBA02,BPDUP,N,66.0,5520,1850,M9001,M,B,QUI,3,17.13,787.98,846.57,896.48,795.36,800.78,0.33,110.93,114.42,123.78,110.89,95.16,0.0,15.54,58.9,,"[58,59[",
20180125231751,5160098443,323,PBA02,BPDUP,N,91.0,5120,1850,L166,L,B,QUI,3,17.39,911.68,846.57,897.57,794.92,800.35,0.33,120.09,119.18,123.27,108.33,93.77,0.0,15.39,57.1,,"[57,58[",
20180126002828,5160098409,323,PBA02,BPDUP,N,91.0,2460,1850,L166,L,B,SEX,3,17.38,911.02,847.87,898.44,794.27,797.96,0.33,119.88,119.01,123.65,107.87,93.98,0.0,15.54,56.8,6.7,"[56,57[","[6.5,7.0["
20180126041357,5160098402,323,PBA02,BPDUP,N,91.0,5520,1850,L166,L,B,SEX,3,18.49,910.37,848.09,897.35,795.14,800.35,0.33,119.84,119.14,123.82,108.12,95.03,0.0,-2.26,56.7,6.7,"[56,57[","[6.5,7.0["
20180126011454,5160098402,323,PBA02,BPDUP,N,91.0,5520,1850,L166,L,B,SEX,3,17.39,910.81,846.14,897.35,794.7,800.35,0.33,119.67,119.05,123.61,107.7,93.77,0.0,15.39,56.7,6.7,"[56,57[","[6.5,7.0["
